NestNumber,BeeID,Treatment ,DurationX ,TemperatureX,DateCollected,Location,Position ,EstimatedSex,StageOnCollection,Instar1,Instar2,Instar34,Instar5,SpinStart,CocoonComplete,Mortality,MortalityDate ,DaystoDeath,DeathStage,Weight,Weight_Sept,Weight_November,Notes 
4,19,1,4,25,23-Apr,NH,1,1,0,3,4,8,14,,,1,13-May,20,5,,,,"4/27 died shriveled up, 4/29 not dead! "
4,20,1,4,25,23-Apr,NH,2,1,0,,,,,,,1,24-Apr,1,0,,,,egg ruptured 
7,30,3,7,33,24-Apr,NH,3,0,0,2,3,5,7,27,30,0,,,,0.1855,0.1333,0.1311,5/5 weird poop long took picture
25,132,1,4,25,1-May,NH,4,0,0,4,6,7,13,31,37,0,,,,0.1822,0.1329,0.1294,
16,78,1,4,25,28-Apr,NH,3,0,0,3,4,9,10,28,29,0,,,,0.1797,0.1322,0.1293,
3,17,5,7,37,23-Apr,NH,5,0,0,3,4,6,9,35,39,0,,,,0.1677,0.1292,0.128,"4/27 2nd instar but isn't eating has its mouth right above the position , 5/5 poop a little weird took a picture"
3,14,5,7,37,23-Apr,NH,2,1,0,2,3,6,8,34,35,0,,,,0.1692,0.1273,0.1268,poops are kinda sticking togeth 5/4 took a picture 
11,51,3,7,33,26-Apr,NH,2,1,0,2,3,6,7,26,28,0,,,,0.1741,0.1296,0.1266,
18,90,1,4,25,28-Apr,NH,2,0,0,3,3,6,10,27,31,0,,,,0.1791,0.1298,0.1255,
7,29,3,7,33,24-Apr,NH,2,1,0,2,3,5,7,28,30,0,,,,0.1671,0.1235,0.1218,5/5 weird poop long took picture
36,197,3,7,33,8-May,NH,2,1,0,2,4,5,7,29,33,0,,,,0.1765,0.1255,0.1208,
39,217,1,4,25,11-May,NH,1,1,0,2,4,5,10,31,34,0,,,,0.1634,0.1225,0.1203,
29,159,2,4,33,3-May,NH,2,1,0,2,3,4,8,27,30,0,,,,0.1776,0.1263,0.1201,
7,33,3,7,33,24-Apr,NH,6,0,0,3,3,7,,,,1,3-May,8,3,,,,5/3 brown inside
23,119,3,7,33,30-Apr,NH,1,1,0,1,3,5,7,26,31,0,,,,0.1771,0.1217,0.1184,
8,35,2,4,33,24-Apr,NH,2,1,0,,,,,,,1,28-Apr,4,0,,,,"might be dead 4/27 buried in the provision a little bit, 4/28 dead"
11,52,3,7,33,26-Apr,NH,3,0,0,2,3,6,7,25,28,0,,,,0.1725,0.1217,0.1172,wierd poop 5/5 no picture (phone dead :( ) looks the same as in NH7  
11,53,3,7,33,26-Apr,NH,4,0,0,3,3,6,7,25,28,0,,,,0.165,0.1206,0.1162,
9,38,4,4,37,25-Apr,SH,1,1,0,1,4,7,,,,1,4-May,10,3,,,,"5/3 might be dying looks unwell large insides still 3rd instar after several days, 5/4 dead took a picture "
9,39,4,4,37,25-Apr,SH,2,1,0,1,5,,,,,1,2-May,8,2,,,,52 yellow dead 
9,40,4,4,37,25-Apr,SH,3,1,0,2,5,7,14,,,1,23-May,28,5,,,,"4/27 starting to shrivel up, 5/20 dying? 5/23 died black"
9,41,4,4,37,25-Apr,SH,4,0,0,,,,,,,1,29-Apr,,,,,,4/27 might be getting swallowed by melting provision
9,42,4,4,37,25-Apr,SH,5,0,0,,,,,,,1,27-Apr,2,0,,,,4/27 shriveled up egg stage 
32,175,2,4,33,6-May,NH,1,1,0,1,2,4,8,25,29,0,,,,0.1658,0.1211,0.1159,
10,44,4,4,37,26-Apr,NH,1,1,0,,,,,,,1,27-Apr,1,0,,,,"4/27 may have fallen off the provision, definitely fell off "
10,45,4,4,37,26-Apr,NH,2,1,0,,,,,,,1,29-Apr,3,0,,,,4/29 stuck in provision
10,46,4,4,37,26-Apr,NH,3,0,0,2,3,7,10,,,1,23-May,27,5,,,,"5/23 died, spun but died and crunched up"
27,148,4,4,37,3-May,NH,4,0,0,3,4,7,13,38,42,0,,,,0.166,0.1182,0.1157,
10,48,4,4,37,26-Apr,NH,5,0,0,2,,,,,,1,30-Apr,4,1,,,,4/30 died 
3,15,5,7,37,23-Apr,NH,3,0,0,3,4,6,9,32,35,0,,,,0.1658,0.1165,0.1137,disappeared ?? 5/13
23,120,3,7,33,30-Apr,NH,2,1,0,2,3,5,7,26,32,0,,,,0.153,0.1155,0.1134,
24,125,1,4,25,30-Apr,NH,2,1,0,3,4,7,12,30,33,0,,,,0.1768,0.1185,0.1129,
30,164,3,7,33,4-May,SH,2,1,0,2,3,4,8,27,32,0,,,,0.1465,0.1125,0.1129,
2,8,3,7,33,23-Apr,SH,2,1,0,2,3,6,7,30,34,0,,,,0.1852,0.1239,0.1124,
11,54,3,7,33,26-Apr,NH,5,0,0,3,3,,,,,1,3-May,7,2,,,,"5/2 looks like it is dying, brown insides took picture"
1,2,2,4,33,22-Apr,NH,2,1,0,3,4,5,11,30,33,0,,,,0.1532,0.1131,0.1112,
28,152,3,7,33,3-May,NH,1,1,0,2,3,4,7,23,29,0,,,,0.1646,0.1129,0.109,
7,28,3,7,33,24-Apr,NH,1,1,0,2,2,5,6,28,30,0,,,,0.1604,0.1104,0.1087,4/27 provision carmelizing? picture taken 
12,58,3,7,33,26-Apr,NH,3,0,0,3,3,6,,,,1,2-May,6,3,,,,4/29 pressed against saran wrap might die soon
23,121,3,7,33,30-Apr,NH,3,0,0,1,4,5,10,28,34,0,,,,0.1625,0.111,0.1077,
32,177,2,4,33,6-May,NH,3,1,0,1,3,4,9,25,29,0,,,,0.1569,0.1124,0.1075,
32,176,2,4,33,6-May,NH,2,1,0,1,2,4,8,26,29,0,,,,0.1416,0.1077,0.1061,
16,76,1,4,25,28-Apr,NH,1,1,0,1,3,7,10,28,29,0,,,,0.1468,0.1063,0.106,
13,63,4,4,37,27-Apr,SH,3,0,0,2,3,,,,,1,2-May,5,2,,,,dead 5/2 under pollen
13,64,4,4,37,27-Apr,SH,4,0,0,,,,,,,1,30-Apr,3,1,,,,stuck in provision 4/29
13,65,4,4,37,27-Apr,SH,5,0,0,2,3,8,,,,1,6-May,9,3,,,,
13,66,4,4,37,27-Apr,SH,6,0,0,,,,,,,1,29-Apr,2,0,,,,dead 4/29
33,181,4,4,37,7-May,SH,1,1,0,1,2,4,11,34,38,0,,,,0.1575,0.0961,0.1045,5/8 wrinkly
24,124,1,4,25,30-Apr,NH,1,1,0,4,6,7,11,28,34,0,,,,0.2096,0.0942,0.1043,
3,13,5,7,37,23-Apr,NH,1,1,0,2,3,5,8,35,38,0,,,,0.1922,0.1259,0.104,
14,67,2,4,33,28-Apr,C4,1,1,0,2,2,6,9,31,33,0,,,,0.1607,0.0972,0.1039,
31,171,3,7,33,5-May,NH,3,1,0,3,4,6,9,30,35,0,,,,0.143,0.1037,0.1034,
41,223,1,4,25,15-May,C2,1,1,0,2,4,9,20,28,32,0,,,,0.1375,0.1053,0.1027,
16,80,1,4,25,28-Apr,NH,5,0,0,5,6,9,12,27,33,0,,,,0.1284,0.0968,0.0988,
15,75,3,7,33,28-Apr,SH,3,0,0,4,,,,,,1,4-May,6,1,,,,5/4 died deflaed 
1,5,2,4,33,22-Apr,NH,5,0,0,4,4,8,12,32,34,0,,,,0.1406,0.0989,0.0987,
30,163,3,7,33,4-May,SH,1,1,0,2,3,4,8,27,30,0,,,,0.1307,0.0963,0.0964,
25,133,1,4,25,1-May,NH,5,0,0,4,5,9,13,31,37,0,,,,0.1323,0.096,0.0963,
16,79,1,4,25,28-Apr,NH,4,0,0,4,,,,,,1,6-May,8,1,,,,5/6 died 
29,161,2,4,33,3-May,NH,4,0,0,3,4,5,10,29,30,0,,,,0.1128,0.0945,0.0945,
8,34,2,4,33,24-Apr,NH,1,1,0,2,3,8,9,29,31,0,,,,0.1357,0.095,0.0944,
29,158,2,4,33,3-May,NH,1,1,0,2,3,4,9,28,30,0,,,,0.1317,0.0923,0.0927,
13,62,4,4,37,27-Apr,SH,2,1,0,2,5,8,14,37,44,0,,,,0.1541,0.0825,0.0922,
10,49,4,4,37,26-Apr,NH,6,0,0,3,4,8,11,28,32,0,,,,0.1217,0.0902,0.0916,might be dying 4/29
17,85,2,4,33,28-Apr,NH,4,0,0,,,,,,,1,29-Apr,1,0,,,,4/29 dead 
8,36,2,4,33,24-Apr,NH,3,0,0,3,4,9,10,29,31,0,,,,0.1309,0.092,0.0913,
2,12,3,7,33,23-Apr,SH,6,0,0,4,4,7,8,28,31,0,,,,0.1255,0.0892,0.0905,
2,11,3,7,33,23-Apr,SH,5,0,0,2,6,7,9,30,34,0,,,,0.1239,0.0881,0.0894,maybe dead 4/26 maybe dead 4/27
18,89,1,4,25,28-Apr,NH,1,1,0,,,,,,,1,5-May,7,0,,,,"dying 5/2, 5/5 dead stuck in provision"
13,61,4,4,37,27-Apr,SH,1,1,0,2,3,7,12,37,42,0,,,,0.1246,0.0874,0.0885,might be dying 4/29
30,168,3,7,33,4-May,SH,6,0,0,2,4,6,9,26,30,0,,,,0.1286,0.0876,0.0875,
37,202,1,4,25,8-May,NH,1,1,0,2,3,5,10,30,33,0,,,,0.1683,0.0793,0.0867,
28,155,3,7,33,3-May,NH,4,0,0,2,3,4,7,23,26,0,,,,0.1161,0.0858,0.0864,
19,94,5,7,37,29-Apr,NH,1,1,0,2,3,,,,,1,5-May,6,2,,,,"5/4 looks weird didn't molt all the way, 5/5 dead yellow"
19,95,5,7,37,29-Apr,NH,2,1,0,3,,,,,,1,3-May,4,1,,,,
19,96,5,7,37,29-Apr,NH,3,0,0,2,3,,,,,1,5-May,6,2,,,,5/1 dying or going to 1st instar 
19,97,5,7,37,29-Apr,NH,4,0,0,2,,,,,,1,4-May,5,1,,,,5/4 dead! 
19,98,5,7,37,29-Apr,NH,5,0,0,,,,,,,1,1-May,2,0,,,,
